COUNTY,RATE
Albany,3.5%
Allegany,6.0%
Bronx,4.4%
Broome,5.0%
Cattaraugus,5.8%
Cayuga,4.7%
Chautauqua,5.3%
Chemung,4.5%
Chenango,4.9%
Clinton,4.6%
Columbia,3.2%
Cortland,5.3%
Delaware,4.8%
Dutchess,3.6%
Erie,4.5%
Essex,5.6%
Franklin,5.4%
Fulton,5.4%
Genesee,4.4%
Greene,4.7%
Hamilton,9.2%
Herkimer,5.4%
Jefferson,6.8%
Kings,3.2%
Lewis,6.6%
Livingston,4.4%
Madison,4.9%
Monroe,4.3%
Montgomery,5.4%
Nassau,3.4%
New York,2.8%
Niagara,5.6%
Oneida,4.5%
Onondaga,4.0%
Ontario,4.1%
Orange,3.9%
Orleans,5.3%
Oswego,5.9%
Otsego,4.7%
Putnam,3.8%
Queens,2.7%
Rensselaer,3.7%
Richmond,3.0%
Rockland,3.5%
St. Lawrence,5.7%
Saratoga,3.5%
Schenectady,3.8%
Schoharie,4.8%
Schuyler,5.4%
Seneca,4.4%
Steuben,5.0%
Suffolk,3.8%
Sullivan,4.3%
Tioga,4.4%
Tompkins,3.2%
Ulster,3.7%
Warren,5.6%
Washington,4.4%
Wayne,4.7%
Westchester,3.8%
Wyoming,5.3%
Yates,4.4%
